"","personalWeight","sex","race","state","hisp","tech"
"52",102,"Female","White","Washington","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"53",127,"Male","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"54",139,"Male","White","Virginia","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"55",95,"Male","White","Maryland","1","CMM-COMPUTER PROGRAMMERS"
"56",127,"Male","White","Missouri","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"57",164,"Male","Asian","Tennessee","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"58",126,"Female","Asian","New Jersey","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"59",66,"Male","White","California","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"60",59,"Female","White","Michigan","1","CMM-DATABASE ADMINISTRATORS"
"61",70,"Male","White","North Carolina","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"62",78,"Male","White","Michigan","1","CMM-COMPUTER NETWORK ARCHITECTS"
"63",118,"Female","Black","District of Columbia","1","CMM-DATABASE ADMINISTRATORS"
"64",104,"Male","White","Virginia","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"65",111,"Male","White","Virginia","1","CMM-COMPUTER PROGRAMMERS"
"66",36,"Male","White","Maryland","1","CMM-COMPUTER NETWORK ARCHITECTS"
"67",64,"Male","White","Colorado","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"68",48,"Female","White","New Hampshire","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"69",74,"Male","White","Texas","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"70",87,"Female","White","Kansas","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"71",64,"Male","White","California","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"72",126,"Male","White","Arkansas","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"73",131,"Male","White","New York","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"74",57,"Female","White","Arkansas","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"75",44,"Male","White","Georgia","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"76",61,"Male","White","Utah","1","CMM-WEB DEVELOPERS"
"77",407,"Male","Asian","Arkansas","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"78",75,"Male","Asian","Washington","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"79",331,"Female","White","Minnesota","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"80",24,"Male","White","Ohio","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"81",86,"Male","White","Pennsylvania","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"82",138,"Male","White","Wisconsin","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"83",23,"Male","White","Oregon","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"84",114,"Female","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"85",116,"Male","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"86",48,"Male","Black","Arizona","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"87",68,"Male","White","New York","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"88",66,"Male","Hispanic","Virginia","8","CMM-COMPUTER NETWORK ARCHITECTS"
"89",95,"Male","White","California","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"90",98,"Male","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"91",23,"Male","White","Vermont","1","CMM-COMPUTER PROGRAMMERS"
"92",274,"Male","White","Minnesota","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"93",43,"Male","White","New York","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"94",63,"Male","White","Tennessee","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"95",18,"Male","White","Kentucky","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"96",88,"Male","White","Florida","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"97",93,"Male","White","Pennsylvania","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"98",148,"Female","Hispanic","Pennsylvania","3","CMM-COMPUTER SYSTEMS ANALYSTS"
"99",115,"Female","White","South Carolina","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"100",65,"Male","White","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"101",112,"Female","White","Nevada","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"102",119,"Female","Hispanic","California","2","CMM-COMPUTER SYSTEMS ANALYSTS"
"103",79,"Male","White","Illinois","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"104",66,"Female","White","Massachusetts","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"105",118,"Female","White","Pennsylvania","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"106",45,"Male","White","Utah","1","CMM-COMPUTER PROGRAMMERS"
"107",127,"Male","White","North Carolina","1","CMM-DATABASE ADMINISTRATORS"
"108",85,"Male","White","Massachusetts","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"109",254,"Male","White","Ohio","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"110",60,"Male","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"111",271,"Female","White","Washington","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"112",141,"Male","Black","Texas","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"113",10,"Male","White","North Carolina","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"114",141,"Male","White","Florida","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"115",69,"Male","White","Tennessee","1","CMM-DATABASE ADMINISTRATORS"
"116",52,"Female","Hispanic","California","2","CMM-COMPUTER PROGRAMMERS"
"117",113,"Male","White","Massachusetts","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"118",66,"Male","White","Colorado","1","CMM-COMPUTER PROGRAMMERS"
"119",94,"Male","Asian","Hawaii","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"120",46,"Male","White","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"121",65,"Male","White","California","1","CMM-COMPUTER PROGRAMMERS"
"122",57,"Female","White","Georgia","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"123",82,"Male","White","Arizona","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"124",70,"Male","Black","North Carolina","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"125",23,"Female","White","West Virginia","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"126",67,"Male","White","Virginia","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"127",97,"Male","White","New York","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"128",76,"Male","White","Oregon","1","CMM-WEB DEVELOPERS"
"129",38,"Female","White","Maryland","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"130",63,"Male","Asian","Texas","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"131",54,"Female","Asian","Texas","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"132",129,"Male","White","Michigan","1","CMM-COMPUTER PROGRAMMERS"
"133",96,"Male","Two or More Races","New York","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"134",160,"Male","White","Michigan","1","CMM-COMPUTER PROGRAMMERS"
"135",48,"Male","White","Massachusetts","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"136",180,"Male","Hispanic","Texas","2","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"137",50,"Male","White","Florida","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"138",44,"Female","White","West Virginia","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"139",138,"Male","Two or More Races","Hawaii","1","CMM-COMPUTER PROGRAMMERS"
"140",116,"Male","Asian","Michigan","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"141",129,"Male","White","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"142",46,"Male","Asian","Maryland","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"143",194,"Male","White","New Jersey","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"144",90,"Male","White","Georgia","1","CMM-COMPUTER PROGRAMMERS"
"145",75,"Male","White","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"146",16,"Male","White","Washington","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"147",22,"Female","White","Massachusetts","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"148",38,"Male","White","Illinois","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"149",78,"Female","White","Missouri","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"150",141,"Male","White","New Jersey","1","CMM-COMPUTER PROGRAMMERS"
"151",114,"Male","White","Minnesota","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"152",124,"Male","White","Georgia","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"153",125,"Female","White","Washington","1","CMM-WEB DEVELOPERS"
"154",34,"Male","White","Florida","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"155",90,"Male","White","Indiana","1","CMM-WEB DEVELOPERS"
"156",59,"Female","White","Colorado","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"157",356,"Male","White","Wisconsin","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"158",151,"Male","White","Wisconsin","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"159",45,"Male","White","Georgia","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"160",159,"Female","White","Nebraska","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"161",95,"Female","White","Texas","1","CMM-COMPUTER PROGRAMMERS"
"162",34,"Male","White","Missouri","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"163",19,"Male","White","Iowa","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"164",52,"Male","White","Florida","1","CMM-COMPUTER NETWORK ARCHITECTS"
"165",184,"Male","Hispanic","Florida","16","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"166",75,"Female","White","Connecticut","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"167",130,"Female","White","Texas","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"168",105,"Male","White","New Jersey","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"169",35,"Male","White","Wisconsin","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"170",48,"Female","Hispanic","District of Columbia","19","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"171",324,"Male","White","Arizona","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"172",70,"Male","White","North Carolina","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"173",97,"Female","White","Texas","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"174",74,"Male","Asian","Hawaii","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"175",110,"Male","White","Texas","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"176",76,"Male","Hispanic","Arizona","19","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"177",67,"Male","White","California","1","CMM-COMPUTER PROGRAMMERS"
"178",44,"Male","White","South Carolina","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"179",13,"Male","White","Michigan","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"180",30,"Male","White","Kansas","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"181",85,"Female","White","New York","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"182",110,"Male","White","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"183",82,"Female","Asian","District of Columbia","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"184",65,"Female","Asian","Maryland","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"185",111,"Male","White","New York","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"186",67,"Male","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"187",36,"Female","White","Georgia","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"188",101,"Female","White","Michigan","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"189",32,"Male","American Indian alone","Utah","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"190",66,"Male","White","Virginia","1","CMM-COMPUTER NETWORK ARCHITECTS"
"191",17,"Male","Asian","Texas","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"192",160,"Male","Asian","Kansas","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"193",64,"Male","White","Tennessee","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"194",196,"Male","Hispanic","Texas","2","CMM-COMPUTER NETWORK ARCHITECTS"
"195",93,"Male","White","Georgia","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"196",102,"Female","White","Georgia","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"197",125,"Male","White","Ohio","1","CMM-WEB DEVELOPERS"
"198",48,"Male","White","New Mexico","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"199",40,"Male","White","Florida","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"200",54,"Male","White","Massachusetts","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"201",59,"Male","White","Michigan","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"202",99,"Male","White","New York","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"203",102,"Male","Asian","New Jersey","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"204",51,"Male","Asian","Illinois","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"205",90,"Female","Asian","Illinois","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"206",125,"Female","White","Missouri","1","CMM-COMPUTER PROGRAMMERS"
"207",206,"Male","White","Maine","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"208",114,"Male","Black","Texas","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"209",146,"Female","Asian","North Carolina","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"210",155,"Male","Asian","North Carolina","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"211",54,"Male","Asian","Texas","1","CMM-COMPUTER PROGRAMMERS"
"212",70,"Male","Asian","New York","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"213",72,"Male","White","North Carolina","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"214",105,"Male","Asian","New Hampshire","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"215",49,"Male","White","North Carolina","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"216",43,"Male","White","Colorado","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"217",189,"Male","White","Massachusetts","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"218",286,"Male","White","California","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"219",67,"Female","White","Virginia","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"220",79,"Male","White","Virginia","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"221",331,"Male","White","Florida","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"222",66,"Female","Asian","Illinois","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"223",106,"Male","Asian","Illinois","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"224",52,"Male","Two or More Races","Nevada","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"225",51,"Female","Asian","California","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"226",57,"Male","White","California","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"227",82,"Male","White","Massachusetts","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"228",59,"Male","White","California","1","CMM-WEB DEVELOPERS"
"229",237,"Female","White","Maryland","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"230",215,"Female","White","Michigan","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"231",148,"Male","White","Michigan","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"232",55,"Male","White","Utah","1","CMM-DATABASE ADMINISTRATORS"
"233",96,"Male","White","Illinois","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"234",54,"Male","White","Virginia","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"235",133,"Male","Asian","New York","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"236",78,"Male","White","New York","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"237",81,"Male","White","Oregon","1","CMM-COMPUTER PROGRAMMERS"
"238",89,"Male","White","Missouri","1","CMM-WEB DEVELOPERS"
"239",119,"Male","Hispanic","California","2","CMM-COMPUTER SUPPORT SPECIALISTS"
"240",340,"Male","Hispanic","Florida","3","CMM-INFORMATION SECURITY ANALYSTS"
"241",94,"Male","Black","District of Columbia","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"242",145,"Female","White","Oregon","1","CMM-COMPUTER PROGRAMMERS"
"243",33,"Male","White","Pennsylvania","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"244",220,"Male","Hispanic","Texas","2","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"245",185,"Male","White","Minnesota","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"246",69,"Male","White","Virginia","1","CMM-COMPUTER PROGRAMMERS"
"247",98,"Male","White","Illinois","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"248",25,"Male","White","California","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"249",355,"Male","White","Illinois","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"250",123,"Male","White","Nebraska","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"251",247,"Female","White","Iowa","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"252",64,"Male","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"253",61,"Female","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"254",68,"Male","White","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"255",131,"Male","White","Pennsylvania","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"256",82,"Male","White","Michigan","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"257",74,"Male","Two or More Races","California","1","CMM-COMPUTER PROGRAMMERS"
"258",146,"Male","White","Virginia","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"259",65,"Male","White","Texas","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"260",258,"Male","White","New York","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"261",313,"Male","White","New Jersey","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"262",58,"Male","White","New York","1","CMM-WEB DEVELOPERS"
"263",102,"Female","White","California","1","CMM-WEB DEVELOPERS"
"264",63,"Male","Hispanic","California","2","CMM-COMPUTER SUPPORT SPECIALISTS"
"265",52,"Male","White","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"266",75,"Male","Asian","Massachusetts","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"267",86,"Female","White","Missouri","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"268",87,"Male","White","Alabama","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"269",47,"Male","Black","Florida","1","CMM-COMPUTER NETWORK ARCHITECTS"
"270",222,"Female","White","Colorado","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"271",66,"Male","White","Massachusetts","1","CMM-WEB DEVELOPERS"
"272",106,"Male","White","California","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"273",114,"Female","Two or More Races","Alabama","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"274",61,"Male","White","Texas","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"275",152,"Male","White","Maine","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"276",52,"Male","Hispanic","Texas","24","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
